prenom nom surnom
Aemon  
Alliser Thorne 
Arya Stark 
Barristan Selmy 
Beric Dondarrion 
Bowen Marsh 
Bran Stark 
Brienne  
Bronn  
Catelyn Stark 
Cersei Lannister 
Daario Naharis 
Daenerys Targaryen 
Davos Seaworth 
Doreah  
Eddard Stark Ned
Eddison Tollett 
Ellaria Sand 
Gendry  
Gilly  
Gregor Clegane 
Grenn  
Grey Worm 
Hodor  
Irri  
Jaime Lannister 
Janos Slynt 
Jaqen H'ghar 
Jeor Mormont 
Joffrey Baratheon 
Jojen Reed 
Jon Snow 
Jorah Mormont 
Kevan Lannister 
Khal Drogo 
Lancel Lannister 
Loras Tyrell 
Luwin  
Mace Tyrell 
Margaery Tyrell 
Meera Reed 
Melisandre  
Meryn Trant 
Missandei  
Myrcella Baratheon 
Olenna Tyrell 
Olly  
Osha  
Othell Yarwyck 
Petyr Baelish Littlefinger
Podrick Payne 
Pycelle  
Pypar  
Qyburn  
Ramsay Bolton 
Rast  
Rickon Stark 
Robb Stark 
Robert Baratheon 
Rodrik Cassel 
Roose Bolton 
Ros 
Samwell Tarly Sam
Sandor Clegane 
Sansa Stark 
Selyse Florent 
Shae  
Shireen Baratheon 
Stannis Baratheon 
Talisa Maegyr 
Theon Greyjoy 
Thoros  
Tommen Baratheon 
Tormund Giantsbane 
Tyrion Lannister 
Tywin Lannister 
Varys  
Viserys Targaryen 
Yara Greyjoy 
Ygritte  
